,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE
375,Daire,Beylikdüzü OSB,100,90,2+1,0,3,8,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,60,Evet,Kat İrtifaklı,İnşaat Firmasından,Hayır,"892.000 TL
Kredi Teklifleri"
376,Daire,Barış Mh.,160,145,3+1,21-25 arası,3,14,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.550.000 TL
Kredi Teklifleri"
377,Daire,Kavaklı Mh.,134,100,2+1,0,5,22,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"4.750.000 TL
Kredi Teklifleri"
378,Daire,Yakuplu Mah.,90,85,2+1,4,Bahçe Katı,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,20,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.169.000 TL
Kredi Teklifleri"
379,Daire,Yakuplu Mah.,90,85,2+1,4,Bahçe Katı,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,20,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.169.000 TL
Kredi Teklifleri"
380,Daire,Adnan Kahveci Mah.,145,130,3+1,4,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.100.000 TL
Kredi Teklifleri"
381,Daire,Gürpınar Mh.,110,90,2+1,4,3,6,Doğalgaz (Kombi),2,Var,Evet,Boş,Evet,Blue Sea City 34 Konutları,350,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.840.000 TL
Kredi Teklifleri"
382,Daire,Barış Mh.,82,70,1+1,5-10 arası,10,10,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,Makyol Yaşam Beylikdüzü,650,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"2.300.000 TL
Kredi Teklifleri"
383,Daire,Kavaklı Mh.,115,105,2+1,0,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"1.799.000 TL
Kredi Teklifleri"
384,Daire,Dereağzı Mh.,110,100,2+1,4,3,5,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Hayır,Belirtilmemiş,150,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.450.000 TL
Kredi Teklifleri"
385,Daire,Marmara Mah.,180,160,3+1,5-10 arası,4,10,Doğalgaz (Kombi),3,Var,Hayır,Mülk Sahibi,Evet,Beyza Konakları,150,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"3.500.000 TL
Kredi Teklifleri"
386,Daire,Kavaklı Mh.,85,70,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.250.000 TL
Kredi Teklifleri"
387,Daire,Kavaklı Mh.,85,70,2+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.250.000 TL
Kredi Teklifleri"
388,Daire,Adnan Kahveci Mah.,150,145,3+1,11-15 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"3.100.000 TL
Kredi Teklifleri"
389,Daire,Kavaklı Mh.,130,110,3+1,0,4,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"990.000 TL
Kredi Teklifleri"
390,Daire,Adnan Kahveci Mah.,200,180,3+1,5-10 arası,4,7,Doğalgaz (Kombi),2,Var,Evet,Mülk Sahibi,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,"4.650.000 TL
Kredi Teklifleri"
391,Daire,Barış Mh.,105,75,2+1,5-10 arası,Yüksek Giriş,14,Merkezi (Pay Ölçer),1,Var,Hayır,Mülk Sahibi,Evet,Aris Park Residence,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.385.000 TL
Kredi Teklifleri"
392,Daire,Kavaklı Mh.,100,90,2+1,5-10 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,100,Evet,Kat Mülkiyetli,Hayır,"2.400.000 TL
Kredi Teklifleri",
393,Daire,Kavaklı Mh.,100,90,2+1,5-10 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,100,Evet,Kat Mülkiyetli,Hayır,"2.400.000 TL
Kredi Teklifleri",
394,Daire,Adnan Kahveci Mah.,150,120,3+1,21-25 arası,4,12,Doğalgaz (Kombi),2,Yok,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.850.000 TL
Kredi Teklifleri"
395,Daire,Adnan Kahveci Mah.,150,120,3+1,21-25 arası,4,12,Doğalgaz (Kombi),2,Yok,Hayır,Kiracılı,Evet,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,"2.850.000 TL
Kredi Teklifleri"
