,HOUSE_TYPE,NEIGHBORHOOD,GROSS_AREA,NET_AREA,NUMBER_OF_ROOMS,AGE_OF_BUİLDİNG,FLOOR_LOCATION,TOTALNUMBER_OF_FLOORS,TYPE_OF_HEATING,NUMBER_OF_BATHROOMS,IS_THERE_BALCONY,IS_IT_FURNISHED,WHO_IS_AT_HOME,ON_BUILDINGS,NAME_OF_BUILDINGS,DUES,AVAILABLE_FOR_CREDIT,TITLE_DEED,WHO_IS_THE_SELLER,IS_IT_VIEWABLE,PRICE,NEW_IS_IT_TWOPLY
431,Daire,Adnan Kahveci Mah.,92.0,65.0,2+1,5-10 arası,6,7,Merkezi,1,Yok,Hayır,Mülk Sahibi,Evet,Kalekent Evleri,255.0,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3950000,Hayır
432,Daire,Kavaklı Mh.,150.0,140.0,3+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3850000,Hayır
433,Daire,Adnan Kahveci Mah.,190.0,180.0,3+1,1,2,6,Merkezi,2,Var,Hayır,Mülk Sahibi,Evet,Doğa Panorama Evleri,500.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,315000,Hayır
434,Daire,Yakuplu Mah.,165.0,155.0,3+1,5-10 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1700000,Hayır
435,Daire,Yakuplu Mah.,145.0,135.0,3+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,1990000,Hayır
436,Daire,Adnan Kahveci Mah.,170.0,158.0,3+1,5-10 arası,12,14,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3790000,Hayır
438,Daire,Kavaklı Mh.,170.0,145.0,3+1,0,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2299000,Hayır
439,Daire,Yakuplu Mah.,110.0,95.0,2+1,0,Giriş Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1770000,Hayır
440,Daire,Barış Mh.,145.0,130.0,3+1,21-25 arası,3,14,Doğalgaz (Kombi),1,Yok,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,221.03515625,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,2250000,Hayır
441,Daire,Gürpınar Mh.,115.0,110.0,2+1,5-10 arası,3,5,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2350000,Hayır
442,Daire,Gürpınar Mh.,95.0,70.0,2+1,4,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1629000,Hayır
443,Daire,Adnan Kahveci Mah.,120.0,110.0,2+1,4,3,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Evet,2300000,Hayır
445,Daire,Barış Mh.,165.0,155.0,3+1,11-15 arası,12,15,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Kardelen Sitesi,200.0,Evet,Kat Mülkiyetli,Sahibinden,Hayır,2749000,Hayır
446,Daire,Yakuplu Mah.,195.0,170.0,4+2,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Sahibinden,Evet,2615000,Evet
448,Daire,Adnan Kahveci Mah.,145.0,120.0,3+1,5-10 arası,Giriş Katı,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,3199000,Hayır
450,Daire,Büyükşehir Mh.,155.0,145.0,3+1,16-20 arası,12,14,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,140.625,Evet,Kat İrtifaklı,Emlak Ofisinden,Evet,2900000,Hayır
451,Daire,Kavaklı Mh.,146.0,135.0,3+1,5-10 arası,Giriş Katı,4,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2275000,Hayır
452,Daire,Yakuplu Mah.,250.0,200.0,HIGH_RARITY,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2295000,Evet
453,Daire,Kavaklı Mh.,155.0,150.0,3+1,3,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,2090000,Hayır
454,Daire,Gürpınar Mh.,155.0,140.0,3+1,0,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3390000,Hayır
455,Daire,Adnan Kahveci Mah.,185.0,160.0,3+1,16-20 arası,Yüksek Giriş,15-20 arası,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,Ata Sitesi,390.0,Evet,Kat Mülkiyetli,Sahibinden,Evet,2675000,Hayır
456,Daire,Kavaklı Mh.,400.0,250.0,4+2,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2750000,Evet
457,Daire,Yakuplu Mah.,110.0,95.0,2+1,5-10 arası,3,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2040000,Hayır
458,Daire,Adnan Kahveci Mah.,120.0,100.0,2+1,4,3,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,2850000,Hayır
459,Daire,Yakuplu Mah.,130.0,110.0,3+1,0,5,10,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,895000,Hayır
460,Daire,Yakuplu Mah.,147.0,132.0,3+1,0,4,6,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1195000,Hayır
461,Daire,Adnan Kahveci Mah.,175.0,140.0,3+1,5-10 arası,1,8,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,Belirtilmemiş,80.0,Evet,Kat İrtifaklı,Emlak Ofisinden,Hayır,4000000,Hayır
462,Daire,Marmara Mah.,130.0,120.0,3+1,0,2,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1970000,Hayır
463,Daire,Kavaklı Mh.,148.0,138.0,3+1,0,Giriş Katı,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,Belirtilmemiş,255.0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,950000,Hayır
